# gate_id	state	receipt	sha256
I-01	PASS	qualification/program-c/gate-i-i-01-calls-v1.receipt.txt	sha256:a8f85578ff8e0417a48dee757a3d06f32101588d1a9b4e36a599441709495d73
I-02	PASS	qualification/program-c/gate-i-i-02-deterministic-analysis.receipt.txt	sha256:e629849196a17acac577a0323c4abdbdaa8b08604c913a317a7021d658608fd9
I-03	PASS	qualification/program-c/gate-i-i-03-candidate-inventory.receipt.txt	sha256:c29df171006a6cb499b2dc26a019133a20ee9c5364286c26d56d3f4734f562a7
I-04	PASS	qualification/program-c/gate-i-i-04-license-inputs.receipt.txt	sha256:878bf66d1601880a460f9e2e29f00b7814327d1584bd4a7faa9529cffc894f67
I-05	MISSING	-	-
I-06	MISSING	-	-
I-07	MISSING	-	-
I-08	PASS	qualification/program-c/gate-i-i-08-neutrality.receipt.txt	sha256:cfecdd2b61ab92b6fcbbf8341dc5673b1e28df0bc5d4fdfd1193cbec620aa16b
